# Server version 0.05 running on 192.168.0.101:8123
# Game ID: 2
# Board class: odd.OddBoard
# Timeout: 5000
# Date: Mon Apr 22 02:56:26 EDT 2013
# Player 1: Player1, 'The Noobinator', running on localhost
# Player 2: Player2, 'The Newborn', running on localhost
START Player1 The Noobinator
START Player2 The Newborn
1 WHITE 0 -2
2 BLACK 1 -3
1 WHITE -1 -2
2 WHITE -3 0
1 WHITE -1 -4
2 WHITE 0 3
1 WHITE 1 4
2 BLACK -3 -4
1 WHITE 1 -2
2 WHITE -2 0
1 WHITE -1 2
2 WHITE -2 -2
1 BLACK -4 -3
2 BLACK 0 2
1 WHITE -3 1
2 WHITE 4 1
1 BLACK 3 1
2 WHITE -3 -2
1 BLACK 2 3
2 WHITE -3 -3
1 BLACK -4 -4
2 WHITE -2 -4
1 BLACK -4 -2
2 WHITE 4 3
1 BLACK -4 -1
2 BLACK 2 -2
1 BLACK 4 2
2 BLACK 3 -1
1 WHITE 0 -3
2 WHITE 2 1
1 BLACK 3 2
2 WHITE 2 2
1 WHITE -1 3
2 WHITE 2 0
1 BLACK 3 3
2 WHITE 3 0
1 WHITE 2 -1
2 BLACK 2 4
1 WHITE 0 -4
2 WHITE 1 2
1 BLACK 1 3
2 BLACK -2 2
1 WHITE -2 1
2 BLACK 0 -1
1 BLACK 0 1
2 BLACK 1 -1
1 BLACK -4 0
2 WHITE 1 1
1 BLACK -3 -1
2 BLACK 1 0
1 BLACK -1 -3
2 WHITE 4 0
1 BLACK -1 0
2 WHITE 0 0
1 BLACK -2 -3
2 WHITE 3 4
1 BLACK -2 -1
2 BLACK -1 -1
1 WHITE 0 4
2 BLACK 4 4
1 WHITE -1 1
GAMEOVER 
WINNER Player1
# Game ended: Mon Apr 22 03:00:39 EDT 2013
